Video ID,Title,Channel,Channel ID,Published At,Video URL,Likes
GOiT1lxmEdI,శివరాత్రి పాట 2025...నల్లగొండ గద్దర్ ..NEW SONG / RAVI KALYAN // MATLA THIRUPATHI // NALGONDA GADDAR,Nalgonda Gaddar Narsanna Official,UC6JWkNLDcMW4Pr9wkBVZM2A,2025-02-26T03:05:06Z,https://www.youtube.com/watch?v=GOiT1lxmEdI,209900
1si2womiQGY,Shiva Tandava Stotram,Hindu God Tales,UC5M5NVVneG--MBOeaAW2ZnQ,2025-02-20T00:04:24Z,https://www.youtube.com/watch?v=1si2womiQGY,71582
yQEiAGuA4-Y,ಕೇಳೋ ಮಾದೇವ (kelo mahadeva ) kannada lyrical video song  | Ananya bhat | #kannada #devotional #God,Sk Audios,UCk2x0mpGNKHfAjQqloM72qQ,2023-07-25T08:53:09Z,https://www.youtube.com/watch?v=yQEiAGuA4-Y,158288
VnPFQ7nNu0U,Shiva Shiva Shankaraa Lyrical Video | Kannappa -Telugu | Vishnu Manchu | Mohan Babu | Mukesh Kumar S,T-Series Telugu,UCnJjcn5FrgrOEp5_N45ZLEQ,2025-02-10T12:30:28Z,https://www.youtube.com/watch?v=VnPFQ7nNu0U,254570
DbrQNY3AOuM,lord Shiva songs #song #hindudeity #trending #beautifulfolksong,Gowri shankara devotional,UCVenpFcR2rgW1gfQc1MfM_w,2025-06-28T14:04:37Z,https://www.youtube.com/watch?v=DbrQNY3AOuM,187
Kf1ffhQejBY,SHIVA SHIVA | Lyrical | Kannada | KD | KVN Production | Prem&#39;s | AJ | Dhruva Sarja |Reeshma| Suprith,Anand Audio,UCLtCejNl8eAg4PO_9lf2TIg,2024-12-24T05:34:25Z,https://www.youtube.com/watch?v=Kf1ffhQejBY,572992
jh2LJVDtGIY,Namami Shamishan #namamishamishan,yt mixer assam,UCTquCXYVtIzAtUthew-QqSA,2025-01-29T02:41:16Z,https://www.youtube.com/watch?v=jh2LJVDtGIY,168308
Qi8N7ZYKyDE,#Mahadev #Shiva Chandrachooda shivashankara parvathi Mahadev❤Sathi. New HD / Dts video,Akash Mohan,UCaETJ0FGhE88yTutZCliIzg,2020-03-20T03:36:56Z,https://www.youtube.com/watch?v=Qi8N7ZYKyDE,100018
bu6X0zLaK6U,LIVE : సోమవారం రోజు బిల్వాష్టకం | Bilvashtakam | Monday Morning Lord Shiva Songs | Lord Shiva,Maha Bhakti,UC7UPP8ZdHJGsJWsMUquEWig,2025-06-30T15:55:26Z,https://www.youtube.com/watch?v=bu6X0zLaK6U,17
M129hwTnL-k,#ShivaratriSong2019 | Full Song | శివరాత్రి పాట | Mangli | Tirupathi Matla | SK.Baji | MicTv.in,Mic Tv,UCf7uc9K4agAuPsy1hf-W6ww,2019-03-02T05:30:19Z,https://www.youtube.com/watch?v=M129hwTnL-k,856570
eBPT7ESpLD8,Hara Hara Shambhu Song Telugu Lyrics || Abhilipsa Panda | Jeetu Sharma || 4k,kushi lyrics,UCsLDUk0e_ct9fEOscyLsRPw,2022-11-03T03:39:13Z,https://www.youtube.com/watch?v=eBPT7ESpLD8,61722
GZ1RRhMs9do,Non Stop Shiv Bhajan | Mahadev Songs | श्रावण मास के भजन | Bhakti Song | ॐ नम: शिवायः | शिव भजन,Nova Spiritual India,UCdsQsaeI8pQZtgrMmbjGUug,2024-07-15T01:23:42Z,https://www.youtube.com/watch?v=GZ1RRhMs9do,54642
tkaRhG65DjE,UYYALA SERULO OYYARIVAMMA YELLAMMA || BONALU SONGS 2025   || DUBBULA SHIVA KALANJALIPRARDHINI,DUBBULA SHIVA,UCuVQ-OYO_90gSy4Sl1J9CIw,2025-06-30T12:01:45Z,https://www.youtube.com/watch?v=tkaRhG65DjE,618
OnTcMuv2Tsk,"మహాప్రాణ దీపం సాంగ్ | Mahapraana Deepam Song | Sri Manjunatha | Arjun, Chiranjeevi ,Soundarya",Volga Devotional,UCOA2TIy_p3M0Q3GCnmZ-Kqg,2022-04-11T07:49:48Z,https://www.youtube.com/watch?v=OnTcMuv2Tsk,108636
ZvvhVPPLoSg,SHIVA STHUTHI KANNADA BHAKTI SONGS || JUKEBOX | S.P. BALASUBRAMANYAM SONGS,BHAKTHI MUSIC | KANNADA DEVOTIONAL | KANNADA SONGS,UCwrp8tAcFsP3FplC8u6IQMA,2016-06-10T22:00:00Z,https://www.youtube.com/watch?v=ZvvhVPPLoSg,60665
0tpkxcLiw0k,Excellent Song Of Lord Shiva - The Best Song of All Time !!!.,Rowdy Cuts,UC9UUtLDtMexdOu0uDPWAUpw,2020-11-05T17:12:05Z,https://www.youtube.com/watch?v=0tpkxcLiw0k,30979
K-eMFiFSFRg,Om Mahaprana Dipam - Audio Song | Sri Manjunatha | Hamsalekha | Shankar Mahadevan,Saregama Kannada,UCKFnbjBQDzzh002TMJcyuZA,2024-03-23T11:30:09Z,https://www.youtube.com/watch?v=K-eMFiFSFRg,62124
JaJ458XmGpU,"Shiva Tandava Stotram Lord Shiva, Bholenath, Tandava शिवताण्डवस्तोत्रम्   #harharmahadev #shivtandav",Hindu Dharma,UCRAW2Fn-ooBh3e1CYAJDwpA,2025-06-11T16:05:49Z,https://www.youtube.com/watch?v=JaJ458XmGpU,128155
5Vm3kOpFG2Y,ಸೋಮವಾರ  ವಿಶೇಷ | ಶಿವ ಭಕ್ತಿ ಹಾಡುಗಳು | Lord Shiva Songs | Shiva Stuthi | Kannada Bhakthi Songs,ಕನ್ನಡ ಭಕ್ತಿ ಹಾಡುಗಳು - Kannada Bhakthi Songs,UCB4uZ036XFQO-Aew1TrsYLg,2025-02-25T23:31:31Z,https://www.youtube.com/watch?v=5Vm3kOpFG2Y,3147
hMBKmQEPNzI,Shiva Tandava Stotram || Original Powerful &amp; Best Trance,Shubh Ashish Records,UCfEVI4QuwsjfRCqcboleu-g,2012-02-20T06:45:29Z,https://www.youtube.com/watch?v=hMBKmQEPNzI,4133536
lr4FJ5-6Gwc,ஓம் தில்லை நடராஜனே... | Tamil Cover Song | Mathichiyam Bala,Mathichiyam Bala,UCtVJxPTjPSio2SUY8YxfkxA,2024-12-03T13:18:40Z,https://www.youtube.com/watch?v=lr4FJ5-6Gwc,48937
2mD6AMM2jmI,LINGASHTAKAM | LORD SHIVA POPULAR STOTRAS | LORD SHIVA SONGS,My3 Music - Devotional Music,UC7MlKIi4_Rvbhhvk5wiGysw,2022-12-11T22:30:10Z,https://www.youtube.com/watch?v=2mD6AMM2jmI,86071
KKoj69TrWR0,Brahma Murari - Lingastakam | Shiva Bhaktigeethe | Lord Shiva Devotional Song | JhankarMusic,Jhankar Music Bhakti,UCA7bdnvxA9PohJzkMhUW1hw,2018-02-10T23:30:01Z,https://www.youtube.com/watch?v=KKoj69TrWR0,118686
rTV5W-F1_Mg,Lord Shiva Special Songs | Shivude Devudani Nenante | Latest Devotional Songs | Amulya DJ Songs,Amulya DJ Songs,UCPrg1NAx9X-uD0MU0qNP3Uw,2018-05-24T14:30:00Z,https://www.youtube.com/watch?v=rTV5W-F1_Mg,243733
yr5BMUDjixY,Mahakaal (Official Video) B Praak | Jaani | महाकाल | हर हर महादेव | Kripa Records,Kripa Record,UCf3dhfEYz9GKRv4UXETQC3g,2025-02-17T12:30:30Z,https://www.youtube.com/watch?v=yr5BMUDjixY,660224
_X0ZAYnhcWs,Shivaratri Song 2020 | Full Song | Mangli | Charan Arjun | Damu Reddy,Mangli Official,UC91m634trv4XQcJzOWQo4qQ,2020-02-18T16:30:05Z,https://www.youtube.com/watch?v=_X0ZAYnhcWs,768817
crUHQOLTBIw,Shiva Devotional Songs Malayalam | Lord Shiva Songs | Hindu Devotional Songs Malayalam,Music Shack Hindu Devotional Songs Malayalam,UCOZgwUW5vfPiILCsQXIcCow,2024-10-21T11:30:32Z,https://www.youtube.com/watch?v=crUHQOLTBIw,2560
eaoIF6RZIcE,Mahadev 🕉️🙏#shorts #youtubeshorts #trending #youtube #mahadev #song #reels #viralvideo,Sugrim flipper01,UCaKr1KZA-DDbaZlpMlu_QEQ,2025-03-18T04:23:15Z,https://www.youtube.com/watch?v=eaoIF6RZIcE,457873
lW9RwNQTSfs,"Shiva Shiva Shankara Song | Damarukam | Nagarjuna, Anushka | Devi Sri Prasad",Aditya Music,UCNApqoVYJbYSrni4YsbXzyQ,2025-02-25T05:35:02Z,https://www.youtube.com/watch?v=lW9RwNQTSfs,18204
btd1OKGSKUM,హర హర మహాదేవ...OM NAMAH SHIVAYA 🔱🙏🚩 #om #lordshiva #shiva #shortsfeed #shorts,Devulle Na Prapancham,UCaEQztt0KxHpPh5EEHOMouA,2025-06-14T12:44:42Z,https://www.youtube.com/watch?v=btd1OKGSKUM,8185
SMv8gp3I4Ao,शिव स्तुति: आशुतोष शशाँक शेखर (Shiv Stuti: Ashutosh Shashank Shekhar) Powerful Shiva Mantra,HM Bhakti sagar,UCLlafjWfNolBy5EfUrGIKPQ,2025-04-23T03:28:07Z,https://www.youtube.com/watch?v=SMv8gp3I4Ao,45417
UWHST0gqkWM,Bhakta Kannappa Songs - Shiva Shiva Sankara - Krishnam Raju - Vanisree,TeluguOne,UCXjhJbviBl0M4JAC3cxDXqA,2011-10-01T13:54:46Z,https://www.youtube.com/watch?v=UWHST0gqkWM,65044
7FqSok2QBhw,ஓடி ஓடி ஓடி.... உட்கலந்த ஜோதியை | Odi Odi Utkalantha Jothi Full Song | Singer Gold Devaraj,IBC Bakthi,UC-eApYg6f2VAnPcvwQVJWyA,2024-10-12T14:45:01Z,https://www.youtube.com/watch?v=7FqSok2QBhw,93159
8ts9ivpeEKM,"Siva Stuthi || Lord Shiva Devotional Songs || S.P.Balasubramanyam Songs, Mano Songs",Shivaranjani Music,UCAE4S6lRrtEjZEbdnMbwNZw,2015-03-13T11:33:29Z,https://www.youtube.com/watch?v=8ts9ivpeEKM,157767
oZmSuYx4evY,హర హర మహదేవ.. OM NAMAH SHIVAYA 🔱🙏🚩 #om #lordshiva #shiva #shortsfeed #shorts,Devulle Na Prapancham,UCaEQztt0KxHpPh5EEHOMouA,2025-05-26T17:04:37Z,https://www.youtube.com/watch?v=oZmSuYx4evY,21997
UmBqTzvOVc0,सांसो की माला पे सिमरु मैं शिव का नाम - Sejal Keshari - Sanso Ki Mala - Shiv Bhajan - Bhakti Song,Supernal Records India,UC1qepKXx2i9QCTB1EoZlrRw,2025-05-29T00:30:33Z,https://www.youtube.com/watch?v=UmBqTzvOVc0,59645
XHqyMeJIvOE,Shiva | Title Track | Kids Songs,KaanPhod Music,UC7b2A4OTNe5es8aJoAVRDfQ,2021-09-30T04:30:09Z,https://www.youtube.com/watch?v=XHqyMeJIvOE,159546
VFnUVrfsFe8,KALABHAIRAVASTAKAM TELUGU LYRICS AND MEANING BY SRI ADISHANKARA CHARYA,Bhakthi House,UCVAuhaMKMGZwroN2W2BT2AQ,2022-10-31T00:15:00Z,https://www.youtube.com/watch?v=VFnUVrfsFe8,73944
-h6DUy_3i3w,ஓடி ஓடி ஓடி ஓடி உட்கலந்த ஜோதியை - இசைப் பாடல்  ஓம் நமசிவாய ஓம் - Full lyrical song 🎼,BE FREE😉,UCc9RhEnZp91nhi8eoYCG3OA,2024-01-26T18:03:14Z,https://www.youtube.com/watch?v=-h6DUy_3i3w,40433
Onb6_bRJ0Bw,Shiv Kailash (Live in Mumbai) | Rishab Rikhiram Sharma | Sitar for Mental Health [Official Video],Rishab Rikhiram Sharma,UCjT3WfzAkYhKqbOBC0A-OHg,2024-11-10T05:30:07Z,https://www.youtube.com/watch?v=Onb6_bRJ0Bw,566733
NLseWfmbMz4,Jay🙌Siba🕉️Sambhu🙏#odiabhajan #mahadev #trending #odia_4k_whatsapp_status #viral #bijoygoswami,Unique Bijoy,UCp76nf7AdvXbN1fHoW86mpw,2023-07-26T03:45:08Z,https://www.youtube.com/watch?v=NLseWfmbMz4,0
P0NyxlUevTk,Ninnu vidisi undalenayya with lyrics - Tathvam- Sarvepalli Sisters- Kalimba instrument,Sarvepalli Sisters,UCOhEhUNvgmNtGOmmyl-pI6A,2024-03-10T13:50:41Z,https://www.youtube.com/watch?v=P0NyxlUevTk,16412
KLPU0yDaeLY,Aata Kadara Shiva Song | Hanmanth Yadav | Indrajitt | Dilip Devgan | Warangal Tunes,warangal tunes,UCMbnL9c77ujqJnKDy1rhSVA,2023-06-25T11:00:15Z,https://www.youtube.com/watch?v=KLPU0yDaeLY,51737
uSb0M_UQE1o,"Har Har Mahadev (Video) Sachet Tandon, Parampara Tandon | DJ Shadow Dubai | Bhushan Kumar",T-Series,UCq-Fj5jknLsUf-MWSy4_brA,2023-07-24T03:30:12Z,https://www.youtube.com/watch?v=uSb0M_UQE1o,1204378
gD_SAQVIDBQ,Hara Hara Shambhu (Telugu lyrics)  హర హర శంభు తెలుగు లిరిక్స్ Lokesh Bomma vlogs,Lokesh Bomma Vlogs,UCg7_ugq5a7XvMxLAFJasQFg,2022-08-17T02:47:16Z,https://www.youtube.com/watch?v=gD_SAQVIDBQ,24779
bukN2P7WpwE,Witness the POWER of LORD SHIVA and feel his STRONG PRESENCE through this ANCIENT MANTRA | Harish S,Religious India,UC_NGoezF2f_GK3wU2CaquHg,2024-02-19T00:41:00Z,https://www.youtube.com/watch?v=bukN2P7WpwE,827644
H5KfEZMyurA,"Top Mahadev Song Playlist, 🙏🤩 #mahadev",Sujata Ghosh,UCwrRY1xtlJIDWUSpgUkhv3Q,2024-05-17T16:51:00Z,https://www.youtube.com/watch?v=H5KfEZMyurA,140192
PqfHP9DzpcU,நமசிவாய நமசிவாய  பாடல் | Namasivaya Song| Subam AudioVision #shivansongs #devotionalsong #spbsongs,Subam Audio Vision,UCSR63blT1lmkrPUElpACQnw,2022-01-14T00:22:56Z,https://www.youtube.com/watch?v=PqfHP9DzpcU,93383
nl9fVoz4-jU,FAITH in SHIVA Can Change Anything | Shiv Swarnamala Stuti | Harish Sagane,Religious India,UC_NGoezF2f_GK3wU2CaquHg,2025-02-17T00:40:00Z,https://www.youtube.com/watch?v=nl9fVoz4-jU,31581
3eHB-mifMqE,Emileni Yemulaadala O Rajanna | Full Song | Rajendhar Konda | Shivayya Song | 2025 | Konda Music,Konda Music,UCc8E_DrmSt0bJ2poKxLnUNw,2025-03-22T05:52:12Z,https://www.youtube.com/watch?v=3eHB-mifMqE,12870
